Unnamed: 0,ID,GENDER,CAR,PROPERTY,NO OF CHILDREN,INCOME TOTAL,INCOME TYPE,EDUCATION TYPE,FAMILY STATUS,HOUSING TYPE,PHONE,EMAIL,OCCUPATION TYPE,FAMILY SIZE,STATUS,AGE
31,5008806,M,Y,Y,0,112500.0,Working,Secondary,Married,Own House,0,0,Security staff,2,1,58.0
61,5008808,F,N,Y,0,270000.0,Commercial associate,Secondary,Single,Own House,0,1,Sales staff,1,0,52.0
66,5008809,F,N,Y,0,270000.0,Commercial associate,Secondary,Single,Own House,0,1,Sales staff,1,1,52.0
71,5008810,F,N,Y,0,270000.0,Commercial associate,Secondary,Single,Own House,0,1,Sales staff,1,1,52.0
98,5008811,F,N,Y,0,270000.0,Commercial associate,Secondary,Single,Own House,0,1,Sales staff,1,1,52.0
188,5008815,M,Y,Y,0,270000.0,Working,Higher education,Married,Own House,1,1,Accountants,2,0,46.0
194,5112956,M,Y,Y,0,270000.0,Working,Higher education,Married,Own House,1,1,Accountants,2,1,46.0
237,5008819,M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
245,5008820,M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
254,5008821,M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
263,5008822,M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
272,5008823,M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,1,48.0
277,5008824,M,Y,Y,0,135000.0,Commercial associate,Secondary,Married,Own House,0,0,Laborers,2,0,48.0
281,5008825,F,Y,N,0,130500.0,Working,Incomplete higher,Married,Own House,0,0,Accountants,2,0,29.0
307,5008826,F,Y,N,0,130500.0,Working,Incomplete higher,Married,Own House,0,0,Accountants,2,1,29.0
337,5008830,F,N,Y,0,157500.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,27.0
369,5008831,F,N,Y,0,157500.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,27.0
389,5008832,F,N,Y,0,157500.0,Working,Secondary,Married,Own House,0,0,Laborers,2,1,27.0
486,5008836,M,Y,Y,3,270000.0,Working,Secondary,Married,Own House,0,0,Laborers,5,1,34.0
503,5008837,M,Y,Y,3,270000.0,Working,Secondary,Married,Own House,0,0,Laborers,5,1,34.0
665,5008844,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,1,56.0
698,5008846,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,0,56.0
710,5008847,M,Y,Y,0,112500.0,Commercial associate,Secondary,Married,Own House,0,0,Drivers,2,1,56.0
